id,name,factorss,factorsd,actives,actived,aq,krylov,max-kry,meta,group
1,{ElectroPhys10M},0.314705882352941,0.629411764705882,0.192647058823529,0.370588235294118,0.00829411764705882,0.0003,1,,3
2,ss ,0.355555555555556,0.711111111111111,0.155246913580247,0.288888888888889,0.0085679012345679,0.000407407407407407,2,,3
3,nlpkkt80,0.263829787234043,0.527659574468085,0.239716312056738,0.472340425531915,0.0161929078014184,0.000902127659574468,3,,1
4,Serena,0.267970660146699,0.535941320293399,0.238141809290954,0.464058679706602,0.0251970660146699,0.000543765281173594,2,,1
5,Geo\_1438 ,0.298203592814371,0.596407185628743,0.207784431137725,0.403592814371257,0.0301652694610778,0.000685029940119761,2,,1
6,Chevron4,0.346666666666667,0.693333333333333,0.22,0.306666666666667,0.113244444444444,0.01896,3,,3
7,ML\_Geer,0.374429223744292,0.748858447488584,0.141552511415525,0.251141552511416,0.080365296803653,0.0010958904109589,2,,3
8,Transport ,0.372953736654804,0.745907473309608,0.135943060498221,0.254092526690391,0.0133807829181495,0.000911032028469751,2,,3
9,Bump\_2911,0.286514369933677,0.573028739867355,0.217538688282977,0.426971260132646,0.015055563743552,0.000514664701547531,3,,1
10,{DrivAer6M},0.323039215686275,0.646078431372549,0.187990196078431,0.353921568627451,0.00974509803921569,0.00179705882352941,3,,3
11,vas\_stokes\_1M,0.36950146627566,0.73900293255132,0.13782991202346,0.26099706744868,0.0162815249266862,0.000511436950146628,2,,2
12,Hook\_1489,0.315151515151515,0.63030303030303,0.2,0.36969696969697,0.049220202020202,0.0012040404040404,2,,3
13,Queen\_4147 ,0.321348314606742,0.642696629213483,0.18314606741573,0.357303370786517,0.0294705617977528,0.000558202247191011,3,,3
14,dielFilterV2real,0.324186704384724,0.648373408769448,0.200565770862801,0.351626591230552,0.10964639321075,0.00650636492220651,5,,3
15,Flan\_1565,0.342541436464088,0.685082872928177,0.17292817679558,0.314917127071823,0.103637569060773,0.00206850828729282,3,,3
16,{tminlet3M},0.351867219917012,0.703734439834025,0.150207468879668,0.296265560165975,0.0215103734439834,0.00131983402489627,7,,3
17,{perf009ar},0.339568345323741,0.679136690647482,0.18021582733813,0.320863309352518,0.0598561151079137,0.0062273381294964,8,,3
18,Pflow\_742,0.324242424242424,0.648484848484849,0.198484848484849,0.351515151515151,0.0898375757575758,0.0107927272727273,12,,3
19,Cube\_Coup\_dt0,0.300333704115684,0.600667408231368,0.203559510567297,0.399332591768632,0.0226100111234705,0.000384427141268076,2,,1
20,{elasticity-3d},0.337254901960784,0.674509803921569,0.167320261437909,0.325490196078431,0.0121307189542484,0.00270849673202614,10,\rotatebox{90}{\texttt{>itmax}},3
21,fem\_hifreq\_circuit ,0.361565836298932,0.723131672597865,0.149703440094899,0.276868327402135,0.0766785290628707,0.0670975088967972,72,\rotatebox{90}{\texttt{>itmax}},2
22,{lfm\_aug5M},0.3,0.6,0.203205128205128,0.4,0.00380512820512821,0.000849230769230769,3,,3
23,Long\_Coup\_dt0 ,0.312287334593573,0.624574669187146,0.192438563327032,0.375425330812854,0.0262926275992439,0.000889224952741021,4,,3
24,{CarBody25M},0.335051546391753,0.670103092783505,0.216494845360825,0.329896907216495,0.145567010309278,0.0301855670103093,12,\rotatebox{90}{\texttt{>itmax}},2
25,{thmgas},0.36875,0.7375,0.140104166666667,0.2625,0.00309166666666667,0.000460833333333333,2,,3
