id,name,factos,factod,solvesdd,solvesdq,othersdd,othersdq,metasdd,metasdq,solvesdddd,solvesdqdd,othersdddd,othersdqdd,metasdddd,metasdqdd,solveddq,otherddq,metaddq,group
1,{ElectroPhys10M},0.554256843375311,0.987859135811779,0.026129251187693,0.026129251187693,0.000301636377347,0.007239273056331,3,3,0.060704320941106,0.060704320941106,0.012744136942915,0.019304728150215,5,5,0.024281728376442,0.003619636528165,2,3
2,ss ,0.542797494780793,0.985006642626684,0.057695957487189,0.072119946858987,0.000409944961093,0.017460618713228,4,5,0.059973429493263,0.104953501613209,0.030502941734675,0.041563864110837,4,7,0.029986714746631,0.004365154678307,2,1
3,nlpkkt80,0.686653771760155,0.986460348162476,0.058027079303675,0.087040618955513,0.000918762088975,0.024242424242424,6,9,0.121856866537718,0.176015473887814,0.026479690522244,0.038749194068343,9,13,0.027079303675048,0.003030303030303,2,3
4,Serena,0.659291036351321,0.984420862497178,0.045156920298036,0.056446150372545,0.000589297809889,0.021675321743057,4,5,0.062316550011289,0.109053962519756,0.019839692932942,0.031158275005645,4,7,0.031158275005645,0.005418830435764,2,1
5,Geo\_1438 ,0.734302944306492,0.979070592408656,0.056757715501951,0.070947144377439,0.000915218162469,0.034054629301171,4,5,0.146505853139411,0.146505853139411,0.077587797091167,0.095778644909542,7,7,0.041858815182689,0.008513657325293,2,3
6,Chevron4,0.471153846153846,0.899038461538462,0.326923076923077,0.408653846153846,0.004326923076923,0.146153846153846,4,5,0.908653846153846,0.908653846153846,0.257692307692308,0.313461538461538,9,9,0.201923076923077,0.036538461538462,2,2
7,ML\_Geer,0.661327231121281,0.983981693363844,0.068649885583524,0.068649885583524,0.004271548436308,0.112890922959573,5,5,0.112128146453089,0.112128146453089,0.064683447749809,0.117467581998474,7,7,0.032036613272311,0.028222730739893,2,3
8,Transport ,0.537296037296037,0.979020979020979,0.099067599067599,0.138694638694639,0.000932400932401,0.026923076923077,5,7,0.146853146853147,0.146853146853147,0.047668997668998,0.053846153846154,7,7,0.041958041958042,0.004487179487179,2,3
9,Bump\_2911,0.574404906780899,0.987197585552256,0.054617144526116,0.072822859368155,0.00041376624641,0.016015187655162,7,10,0.10241931558195,0.10241931558195,0.026695224650733,0.081731003261452,8,8,0.025604828895488,0.002287883950737,2,3
10,{DrivAer6M},0.626293432088008,0.975928548088443,0.107831390916022,0.14377518788803,0.002178411937697,0.04650909486984,6,8,0.192571615292452,0.192571615292452,0.02973532294957,0.043459318157064,8,8,0.048142903823113,0.006644156409977,2,3
11,vas\_stokes\_1M,0.529644268774704,0.984189723320158,0.060079051383399,0.075098814229249,0.009486166007905,0.04901185770751,4,5,0.063241106719368,0.110671936758893,0.038735177865613,0.057312252964427,4,7,0.031620553359684,0.012252964426878,2,3
12,Hook\_1489,0.5844327176781,0.969656992084433,0.118733509234828,0.142480211081794,0.00221635883905,0.079155672823219,5,6,0.212401055408971,0.303430079155673,0.043984168865435,0.092348284960422,7,10,0.060686015831135,0.015831134564644,2,3
13,Queen\_4147 ,0.531259895155332,0.988635963832108,0.049396615417092,0.065862153889456,0.000721246877529,0.028814692326637,6,8,0.10227632551103,0.147732470182599,0.016331843929212,0.029729444463991,9,13,0.022728072335784,0.004116384618091,2,1
14,dielFilterV2real,0.68421052631579,0.949760765550239,0.344497607655502,0.497607655502392,0.015885167464115,0.832535885167464,9,13,0.602870813397129,0.904306220095694,0.087703349282297,0.301435406698565,12,18,0.100478468899522,0.069377990430622,2,4
15,Flan\_1565,0.632084534101825,0.970220941402498,0.169068203650336,0.232468780019212,0.010086455331412,0.441882804995197,8,11,0.268011527377522,0.387127761767531,0.070124879923151,0.204610951008645,9,13,0.059558117195005,0.04418828049952,2,3
16,{tminlet3M},0.441441135522429,0.994940405446704,0.019491323983837,0.036198173112839,0.001568813881626,0.134469761282217,7,13,0.075893918299433,0.116370674725797,0.018757852558661,0.05416143162756,15,23,0.010119189106591,0.011205813440185,2,3
17,{perf009ar},0.655239748318507,0.976350618355392,0.516380993707963,0.903666738988935,0.076155348231721,3.54089824256889,28,49,0.378390106313734,0.591234541115209,0.095465393794749,0.339986981991755,16,25,0.047298763289217,0.073768713386852,2,2
18,Pflow\_742,0.614285714285714,0.903571428571429,12.5892857142857,21.7857142857143,0.155,6.94285714285714,141,244,2.31428571428571,3.56785714285714,0.039714285714285,0.15,24,37,0.192857142857143,0.028571428571429,2,3
19,Cube\_Coup\_dt0,0.573899371069182,0.987071977638015,0.025943396226415,0.05188679245283,0.000279524807827,0.020527603074773,3,6,0.051712089447939,0.090496156533892,0.019007686932215,0.027690426275332,4,7,0.025856044723969,0.004105520614955,2,1
20,{elasticity-3d},0.536591590633574,0.982581509602501,1.00E-08,1.00E-08,1.00E-08,1.00E-08,\rotatebox{90}{\texttt{>itmax}},\rotatebox{90}{\texttt{>itmax}},0.191603394372488,0.557391692719964,0.028335353793148,0.050532763350986,11,32,0.034836980794998,0.005614751483443,2,1
21,fem\_hifreq\_circuit ,0.4375,0.984042553191489,1.00E-08,1.00E-08,1.00E-08,1.00E-08,\rotatebox{90}{\texttt{>itmax}},\rotatebox{90}{\texttt{>itmax}},2.26595744680851,3.43085106382979,0.338218085106383,0.581117021276596,142,215,0.031914893617021,0.05186170212766,2,3
22,{lfm\_aug5M},0.456902017828503,0.992130095856178,0.017604714482862,0.035209428965723,0.000139867964641,0.014620864570512,4,8,0.039349520719108,0.10230875386968,0.006014322479579,0.013613815225094,5,13,0.023609712431465,0.010113027959548,3,3
23,Long\_Coup\_dt0 ,0.61570493753718,0.984533016061868,0.07703747769185,0.143069601427722,0.000981558596074,0.060678167757287,7,13,0.092801903628792,0.232004759071981,0.020389649018441,0.036436644854254,6,15,0.046400951814396,0.010113027959548,3,3
24,{CarBody25M},0.753936694766979,0.967074916494353,1.00E-08,1.00E-08,1.00E-08,1.00E-08,\rotatebox{90}{\texttt{>itmax}},\rotatebox{90}{\texttt{>itmax}},0.790202004135518,1.18530300620328,0.202799427389852,0.771274057579132,24,36,0.065850167011293,0.106569110863687,2,2
25,{thmgas},0.569613769081037,0.974285421575658,0.097121196598709,0.169962094047741,0.003073455588567,0.184407335314005,4,7,0.180002048970392,0.231431205819076,0.068128265546563,0.143427927466448,7,9,0.051429156848684,0.030734555885668,2,3
