epsilon,sdd-lu,sdd-lu-meta,sdddd-gmres,sdddd-gmres-meta
0,0.462501273387891,2.2,0.536092906380522,1.9
1e-10,0.53907433189582,1.9,0.590967435227003,1.7
1e-8,0.508275323440524,2,0.561390879147,1.8
1e-6,0.299677408400964,3.3,0.33561071683249,3
1e-4,0,\rotatebox{90}{\tiny no convergence},0.358463784848382,2.8
1e-2,0,\rotatebox{90}{\tiny no convergence},0,\rotatebox{90}{\tiny no convergence}
,0,,0,
0,0.502074688796681,2,0.705054273858921,1.4
1e-10,0.489626556016597,2,0.705056499917012,1.4
1e-8,0.473029045643153,2.1,0.671861479170124,1.5
1e-6,0.341908713692946,2.9,0.389039902406639,2.6
1e-4,0,\rotatebox{90}{\tiny no convergence},0.294190871369295,3.4
1e-2,0,\rotatebox{90}{\tiny no convergence},0,\rotatebox{90}{\tiny no convergence}
