ka,km,per,it
1,1,100,1
1,2,0,inf
1,3,0,inf
1,4,0,inf
1,5,0,inf
1,6,0,inf
1,7,0,inf
1,8,0,inf
1,9,0,inf
1,10,0,inf
1,11,0,inf
1,12,0,inf
1,13,0,inf
1,14,0,inf
1,15,0,inf
1,16,0,inf
1,17,0,inf
2,1,100,40
2,2,100,1
2,3,0,inf
2,4,0,inf
2,5,0,inf
2,6,0,inf
2,7,0,inf
2,8,0,inf
2,9,0,inf
2,10,0,inf
2,11,0,inf
2,12,0,inf
2,13,0,inf
2,14,0,inf
2,15,0,inf
2,16,0,inf
2,17,0,inf
3,1,100,160
3,2,100,41
3,3,100,1
3,4,0,inf
3,5,0,inf
3,6,0,inf
3,7,0,inf
3,8,0,inf
3,9,0,inf
3,10,0,inf
3,11,0,inf
3,12,0,inf
3,13,0,inf
3,14,0,inf
3,15,0,inf
3,16,0,inf
3,17,0,inf
4,1,100,1525
4,2,100,168
4,3,100,41
4,4,100,1
4,5,0,inf
4,6,0,inf
4,7,0,inf
4,8,0,inf
4,9,0,inf
4,10,0,inf
4,11,0,inf
4,12,0,inf
4,13,0,inf
4,14,0,inf
4,15,0,inf
4,16,0,inf
4,17,0,inf
5,1,0,inf
5,2,100,2083
5,3,100,168
5,4,100,43
5,5,100,1
5,6,0,inf
5,7,0,inf
5,8,0,inf
5,9,0,inf
5,10,0,inf
5,11,0,inf
5,12,0,inf
5,13,0,inf
5,14,0,inf
5,15,0,inf
5,16,0,inf
5,17,0,inf
6,1,0,inf
6,2,0,inf
6,3,100,1851
6,4,100,175
6,5,100,53
6,6,100,1
6,7,0,inf
6,8,0,inf
6,9,0,inf
6,10,0,inf
6,11,0,inf
6,12,0,inf
6,13,0,inf
6,14,0,inf
6,15,0,inf
6,16,0,inf
6,17,0,inf
7,1,0,inf
7,2,0,inf
7,3,0,inf
7,4,100,3523
7,5,100,183
7,6,100,130
7,7,100,1
7,8,0,inf
7,9,0,inf
7,10,0,inf
7,11,0,inf
7,12,0,inf
7,13,0,inf
7,14,0,inf
7,15,0,inf
7,16,0,inf
7,17,0,inf
8,1,0,inf
8,2,0,inf
8,3,0,inf
8,4,0,inf
8,5,30,1573
8,6,10,451
8,7,100,182
8,8,100,1
8,9,0,inf
8,10,0,inf
8,11,0,inf
8,12,0,inf
8,13,0,inf
8,14,0,inf
8,15,0,inf
8,16,0,inf
8,17,0,inf
9,1,0,inf
9,2,0,inf
9,3,0,inf
9,4,0,inf
9,5,0,inf
9,6,0,inf
9,7,0,inf
9,8,0,inf
9,9,100,1
9,10,0,inf
9,11,0,inf
9,12,0,inf
9,13,0,inf
9,14,0,inf
9,15,0,inf
9,16,0,inf
9,17,0,inf
10,1,0,inf
10,2,0,inf
10,3,0,inf
10,4,0,inf
10,5,0,inf
10,6,0,inf
10,7,0,inf
10,8,0,inf
10,9,0,inf
10,10,100,1
10,11,0,inf
10,12,0,inf
10,13,0,inf
10,14,0,inf
10,15,0,inf
10,16,0,inf
10,17,0,inf
11,1,0,inf
11,2,0,inf
11,3,0,inf
11,4,0,inf
11,5,0,inf
11,6,0,inf
11,7,0,inf
11,8,0,inf
11,9,0,inf
11,10,0,inf
11,11,10,5
11,12,0,inf
11,13,0,inf
11,14,0,inf
11,15,0,inf
11,16,0,inf
11,17,0,inf
12,1,0,inf
12,2,0,inf
12,3,0,inf
12,4,0,inf
12,5,0,inf
12,6,0,inf
12,7,0,inf
12,8,0,inf
12,9,0,inf
12,10,0,inf
12,11,0,inf
12,12,0,inf
12,13,0,inf
12,14,0,inf
12,15,0,inf
12,16,0,inf
12,17,0,inf
13,1,0,inf
13,2,0,inf
13,3,0,inf
13,4,0,inf
13,5,0,inf
13,6,0,inf
13,7,0,inf
13,8,0,inf
13,9,0,inf
13,10,0,inf
13,11,0,inf
13,12,0,inf
13,13,0,inf
13,14,0,inf
13,15,0,inf
13,16,0,inf
13,17,0,inf
14,1,0,inf
14,2,0,inf
14,3,0,inf
14,4,0,inf
14,5,0,inf
14,6,0,inf
14,7,0,inf
14,8,0,inf
14,9,0,inf
14,10,0,inf
14,11,0,inf
14,12,0,inf
14,13,0,inf
14,14,0,inf
14,15,0,inf
14,16,0,inf
14,17,0,inf
15,1,0,inf
15,2,0,inf
15,3,0,inf
15,4,0,inf
15,5,0,inf
15,6,0,inf
15,7,0,inf
15,8,0,inf
15,9,0,inf
15,10,0,inf
15,11,0,inf
15,12,0,inf
15,13,0,inf
15,14,0,inf
15,15,0,inf
15,16,0,inf
15,17,0,inf
16,1,0,inf
16,2,0,inf
16,3,0,inf
16,4,0,inf
16,5,0,inf
16,6,0,inf
16,7,0,inf
16,8,0,inf
16,9,0,inf
16,10,0,inf
16,11,0,inf
16,12,0,inf
16,13,0,inf
16,14,0,inf
16,15,0,inf
16,16,0,inf
16,17,0,inf
17,1,0,inf
17,2,0,inf
17,3,0,inf
17,4,0,inf
17,5,0,inf
17,6,0,inf
17,7,0,inf
17,8,0,inf
17,9,0,inf
17,10,0,inf
17,11,0,inf
17,12,0,inf
17,13,0,inf
17,14,0,inf
17,15,0,inf
17,16,0,inf
17,17,0,inf
