ka,km,per,it
1,1,100,1
1,2,0,inf
1,3,0,inf
1,4,0,inf
1,5,0,inf
1,6,0,inf
1,7,0,inf
1,8,0,inf
1,9,0,inf
1,10,0,inf
1,11,0,inf
1,12,0,inf
1,13,0,inf
1,14,0,inf
1,15,0,inf
1,16,0,inf
1,17,0,inf
2,1,100,37
2,2,100,1
2,3,0,inf
2,4,0,inf
2,5,0,inf
2,6,0,inf
2,7,0,inf
2,8,0,inf
2,9,0,inf
2,10,0,inf
2,11,0,inf
2,12,0,inf
2,13,0,inf
2,14,0,inf
2,15,0,inf
2,16,0,inf
2,17,0,inf
3,1,100,82
3,2,100,33
3,3,100,1
3,4,0,inf
3,5,0,inf
3,6,0,inf
3,7,0,inf
3,8,0,inf
3,9,0,inf
3,10,0,inf
3,11,0,inf
3,12,0,inf
3,13,0,inf
3,14,0,inf
3,15,0,inf
3,16,0,inf
3,17,0,inf
4,1,100,110
4,2,100,66
4,3,100,31
4,4,100,1
4,5,0,inf
4,6,0,inf
4,7,0,inf
4,8,0,inf
4,9,0,inf
4,10,0,inf
4,11,0,inf
4,12,0,inf
4,13,0,inf
4,14,0,inf
4,15,0,inf
4,16,0,inf
4,17,0,inf
5,1,100,142
5,2,100,105
5,3,100,62
5,4,100,24
5,5,100,1
5,6,0,inf
5,7,0,inf
5,8,0,inf
5,9,0,inf
5,10,0,inf
5,11,0,inf
5,12,0,inf
5,13,0,inf
5,14,0,inf
5,15,0,inf
5,16,0,inf
5,17,0,inf
6,1,100,175
6,2,100,146
6,3,100,101
6,4,100,64
6,5,100,26
6,6,100,1
6,7,0,inf
6,8,0,inf
6,9,0,inf
6,10,0,inf
6,11,0,inf
6,12,0,inf
6,13,0,inf
6,14,0,inf
6,15,0,inf
6,16,0,inf
6,17,0,inf
7,1,100,220
7,2,100,190
7,3,100,127
7,4,100,84
7,5,100,50
7,6,100,20
7,7,100,1
7,8,0,inf
7,9,0,inf
7,10,0,inf
7,11,0,inf
7,12,0,inf
7,13,0,inf
7,14,0,inf
7,15,0,inf
7,16,0,inf
7,17,0,inf
8,1,100,332
8,2,100,245
8,3,100,170
8,4,100,108
8,5,100,81
8,6,100,36
8,7,100,16
8,8,100,1
8,9,0,inf
8,10,0,inf
8,11,0,inf
8,12,0,inf
8,13,0,inf
8,14,0,inf
8,15,0,inf
8,16,0,inf
8,17,0,inf
9,1,100,734
9,2,100,380
9,3,100,245
9,4,100,170
9,5,100,107
9,6,100,51
9,7,100,32
9,8,100,16
9,9,100,1
9,10,0,inf
9,11,0,inf
9,12,0,inf
9,13,0,inf
9,14,0,inf
9,15,0,inf
9,16,0,inf
9,17,0,inf
10,1,0,inf
10,2,100,1505
10,3,100,410
10,4,100,241
10,5,100,150
10,6,100,109
10,7,100,49
10,8,100,28
10,9,100,14
10,10,100,1
10,11,0,inf
10,12,0,inf
10,13,0,inf
10,14,0,inf
10,15,0,inf
10,16,0,inf
10,17,0,inf
11,1,0,inf
11,2,0,inf
11,3,100,2566
11,4,100,410
11,5,100,238
11,6,100,161
11,7,100,106
11,8,100,38
11,9,100,25
11,10,100,13
11,11,100,1
11,12,0,inf
11,13,0,inf
11,14,0,inf
11,15,0,inf
11,16,0,inf
11,17,0,inf
12,1,0,inf
12,2,0,inf
12,3,0,inf
12,4,100,2380
12,5,100,415
12,6,100,245
12,7,100,147
12,8,100,78
12,9,100,36
12,10,100,24
12,11,100,13
12,12,100,1
12,13,0,inf
12,14,0,inf
12,15,0,inf
12,16,0,inf
12,17,0,inf
13,1,0,inf
13,2,0,inf
13,3,0,inf
13,4,0,inf
13,5,100,2449
13,6,100,380
13,7,100,248
13,8,100,106
13,9,100,61
13,10,100,34
13,11,100,23
13,12,100,17
13,13,100,1
13,14,0,inf
13,15,0,inf
13,16,0,inf
13,17,0,inf
14,1,0,inf
14,2,0,inf
14,3,0,inf
14,4,0,inf
14,5,0,inf
14,6,100,2475
14,7,100,430
14,8,100,208
14,9,100,123
14,10,100,64
14,11,100,47
14,12,100,34
14,13,100,19
14,14,100,2
14,15,0,inf
14,16,0,inf
14,17,0,inf
15,1,0,inf
15,2,0,inf
15,3,0,inf
15,4,0,inf
15,5,0,inf
15,6,0,inf
15,7,100,2165
15,8,100,427
15,9,100,224
15,10,100,140
15,11,100,78
15,12,90,73
15,13,100,69
15,14,100,32
15,15,100,5
15,16,0,inf
15,17,0,inf
16,1,0,inf
16,2,0,inf
16,3,0,inf
16,4,0,inf
16,5,0,inf
16,6,0,inf
16,7,0,inf
16,8,100,2835
16,9,80,1048
16,10,20,162
16,11,20,114
16,12,20,251
16,13,10,166
16,14,10,104
16,15,100,62
16,16,100,9
16,17,0,inf
17,1,0,inf
17,2,0,inf
17,3,0,inf
17,4,0,inf
17,5,0,inf
17,6,0,inf
17,7,0,inf
17,8,0,inf
17,9,10,7000
17,10,0,inf
17,11,0,inf
17,12,0,inf
17,13,0,inf
17,14,0,inf
17,15,0,inf
17,16,90,155
17,17,100,29
