it,ddqdqq,ddqdqq-rstrt,ddqddq,ddqddq-rstrt,ddqddd,ddqddd-rstrt,ddqsdd,ddqsdd-rstrt,ddqssd,ddqssd-rstrt,ddqsss,ddqsss-rstrt,ddqhss,ddqhss-rstrt,ddqhhs,ddqhhs-rstrt,ddqhhh,ddqhhh-rstrt
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.017519764553734916,,0.01751976455366687,,0.01751976455366508,,0.017519767068256913,,0.01749054522143559,,0.017490592754955032,,0.020698756243166406,0.020698756243166406,1.0912696276290748,1.0912696276290748,1.617681534723859,
2,0.0003254366225180851,,0.00032543662251680006,,0.00032543662251643024,,0.000325436626518432,,0.00032495144007662914,0.00032495144007662914,0.00032524824605644094,0.00032524824605644094,0.0004882218693669239,0.0004882218693669239,0.10669278479671768,0.10669278479671768,0.12852238274809452,0.12852238274809452
3,7.602846090922453e-6,7.602846090922453e-6,7.602846090891408e-6,7.602846090891408e-6,7.602846090882229e-6,7.602846090882229e-6,7.602855522869138e-6,7.602855522869138e-6,1.0316473050402605e-5,,1.0327178020327439e-5,,2.1588800048242967e-5,2.1588800048242967e-5,0.010952583704849155,0.010952583704849155,0.12574620761283886,0.12574620761283886
4,2.2503020203889945e-7,,2.2503020201857362e-7,,2.2503020163534598e-7,,2.2457954155181255e-7,,3.3895375174496585e-7,,3.3902010331983353e-7,,4.3397247459535896e-7,4.3397247459535896e-7,0.0006554277296108051,0.0006554277296108051,0.009050223026672915,0.009050223026672915
5,4.149284975844217e-9,,4.149284975728352e-9,,4.149284965604268e-9,,4.12561486388014e-9,,6.762369668960874e-9,6.762369668960874e-9,6.7468903286448996e-9,6.7468903286448996e-9,1.4703277244688479e-8,1.4703277244688479e-8,0.00012433901022032448,,0.0005645893199570385,0.0005645893199570385
6,1.8308677832164057e-10,1.8308677832164057e-10,1.8308677825392082e-10,1.8308677825392082e-10,1.8308677793936588e-10,1.8308677793936588e-10,1.8252483537305656e-10,1.8252483537305656e-10,3.0556107349082506e-10,,3.9617784353215465e-10,,3.6248816913489473e-10,3.6248816913489473e-10,9.803329311216973e-6,9.803329311216973e-6,6.637569861089403e-5,
7,6.235586883726449e-12,,6.235586964094482e-12,,6.235586885471479e-12,,6.164156450988904e-12,,7.876025509677998e-12,7.876025509677998e-12,1.09517541953939e-11,1.09517541953939e-11,1.3415286623487837e-11,1.3415286623487837e-11,6.04706177491521e-6,6.04706177491521e-6,4.633766296409304e-6,4.633766296409304e-6
8,1.2227245941476018e-13,,1.2227246294631413e-13,,1.2227245944616348e-13,,1.218574604889643e-13,,2.5138646320303474e-13,,2.9474691817836965e-13,,2.971270486388405e-13,2.971270486388405e-13,2.9247968963551423e-7,2.9247968963551423e-7,4.9352718326229685e-6,4.9352718326229685e-6
9,3.3596630189908415e-15,3.3596630189908415e-15,3.3596631511531853e-15,3.3596631511531853e-15,3.35966301938423e-15,3.35966301938423e-15,3.3254055148191565e-15,3.3254055148191565e-15,7.97568728004853e-15,7.97568728004853e-15,9.521154364216402e-15,9.521154364216402e-15,1.0532203745905706e-14,1.0532203745905706e-14,1.629320669399807e-8,1.629320669399807e-8,3.728630046156469e-7,3.728630046156469e-7
10,1.0831879913385788e-16,,1.0831879913386261e-16,,1.0831879913385899e-16,,1.0140467928573564e-16,,2.454080695156157e-16,,2.5542963815769366e-16,,4.081454908192572e-16,4.081454908192572e-16,1.1877415223391746e-9,1.1877415223391746e-9,3.155869287699004e-8,3.155869287699004e-8
11,2.942780625638551e-18,,2.9427806256384626e-18,,2.9427806256372747e-18,,2.9825303413988057e-18,,8.102806421036484e-18,,9.43797339156762e-18,9.43797339156762e-18,,,1.0785648323597834e-10,1.0785648323597834e-10,2.5325758947743732e-9,2.5325758947743732e-9
12,9.659491246890312e-20,9.659491246890312e-20,9.659491246891696e-20,9.659491246891696e-20,9.659491246889133e-20,9.659491246889133e-20,8.422726657636463e-20,8.422726657636463e-20,1.861268508422522e-19,1.861268508422522e-19,,,,,9.218199715479156e-12,9.218199715479156e-12,3.082226517200231e-10,
13,,,,,,,,,,,,,,,1.4914176595077335e-12,,1.2064155387769976e-11,1.2064155387769976e-11
14,,,,,,,,,,,,,,,1.218623045233367e-13,1.218623045233367e-13,7.655671447192119e-12,7.655671447192119e-12
15,,,,,,,,,,,,,,,6.677180678327281e-14,6.677180678327281e-14,1.1237013203813237e-12,
16,,,,,,,,,,,,,,,6.438417586816921e-15,,8.155733575301813e-14,8.155733575301813e-14
17,,,,,,,,,,,,,,,5.687963733034375e-16,5.687963733034375e-16,1.639087562852513e-13,
18,,,,,,,,,,,,,,,6.741341301517859e-16,,1.5399923997388808e-14,1.5399923997388808e-14
19,,,,,,,,,,,,,,,5.596900460987566e-17,5.596900460987566e-17,1.2073582032918362e-14,1.2073582032918362e-14
20,,,,,,,,,,,,,,,,,6.697767078064822e-16,6.697767078064822e-16
