it,ddqdqq,ddqdqq-rstrt,ddqddq,ddqddq-rstrt,ddqddd,ddqddd-rstrt,ddqsdd,ddqsdd-rstrt,ddqssd,ddqssd-rstrt,ddqsss,ddqsss-rstrt,ddqhss,ddqhss-rstrt,ddqhhs,ddqhhs-rstrt,ddqhhh,ddqhhh-rstrt
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.471218104552546e-18,2.471218104552546e-18,3.8578756765941236e-17,3.8578756765941236e-17,5.265358923653897e-17,5.265358923653897e-17,1.3441176144148721e-14,1.3441176144148721e-14,0.00853428210811468,0.00853428210811468,23.65035201407843,,,,,,,
2,,,,,,,0.0,0.0,5.099898005210577e-7,5.099898005210577e-7,0.294472005115276,0.294472005115276,,,,,,
3,,,,,,,,,2.2883203735731507e-10,2.2883203735731507e-10,1.1808098672915057,1.1808098672915057,,,,,,
4,,,,,,,,,7.708300641711332e-14,7.708300641711332e-14,0.3393853506199575,0.3393853506199575,,,,,,
5,,,,,,,,,2.664217746025986e-15,2.664217746025986e-15,0.06945303840406357,,,,,,,
6,,,,,,,,,,,0.0062808162122700625,0.0062808162122700625,,,,,,
7,,,,,,,,,,,0.014245828773654566,,,,,,,
8,,,,,,,,,,,0.0006399471169616932,0.0006399471169616932,,,,,,
9,,,,,,,,,,,0.006663541141768651,,,,,,,
10,,,,,,,,,,,0.0004183671501284118,0.0004183671501284118,,,,,,
11,,,,,,,,,,,0.003363798519626182,,,,,,,
12,,,,,,,,,,,0.0005499659776927753,0.0005499659776927753,,,,,,
13,,,,,,,,,,,0.0015383131943378786,,,,,,,
14,,,,,,,,,,,0.00013439954859318517,0.00013439954859318517,,,,,,
15,,,,,,,,,,,0.00012501811607423864,0.00012501811607423864,,,,,,
16,,,,,,,,,,,7.519189206335602e-5,,,,,,,
17,,,,,,,,,,,3.664099880367738e-6,3.664099880367738e-6,,,,,,
18,,,,,,,,,,,3.2150952318971107e-5,,,,,,,
19,,,,,,,,,,,5.940015205855356e-6,5.940015205855356e-6,,,,,,
20,,,,,,,,,,,2.3252546949049444e-5,,,,,,,
21,,,,,,,,,,,2.195222905982882e-6,2.195222905982882e-6,,,,,,
22,,,,,,,,,,,1.9680042345626246e-6,,,,,,,
23,,,,,,,,,,,1.579687983795605e-7,1.579687983795605e-7,,,,,,
24,,,,,,,,,,,2.7618339100934367e-7,,,,,,,
25,,,,,,,,,,,3.840244749720165e-8,3.840244749720165e-8,,,,,,
26,,,,,,,,,,,3.3855116427261243e-7,,,,,,,
27,,,,,,,,,,,2.0312583548189745e-8,2.0312583548189745e-8,,,,,,
28,,,,,,,,,,,3.1538848641789545e-8,3.1538848641789545e-8,,,,,,
29,,,,,,,,,,,3.3083846289171083e-8,,,,,,,
30,,,,,,,,,,,2.894851547727745e-10,2.894851547727745e-10,,,,,,
31,,,,,,,,,,,6.200427067635478e-9,,,,,,,
32,,,,,,,,,,,7.464584329918898e-11,7.464584329918898e-11,,,,,,
33,,,,,,,,,,,8.216117530846009e-10,8.216117530846009e-10,,,,,,
34,,,,,,,,,,,2.2111401091744703e-10,2.2111401091744703e-10,,,,,,
35,,,,,,,,,,,7.205590853860904e-11,7.205590853860904e-11,,,,,,
36,,,,,,,,,,,4.418605810716891e-11,,,,,,,
37,,,,,,,,,,,1.943567909148592e-12,1.943567909148592e-12,,,,,,
38,,,,,,,,,,,8.293818513139478e-12,,,,,,,
39,,,,,,,,,,,5.842475700594263e-13,5.842475700594263e-13,,,,,,
40,,,,,,,,,,,1.3621809115472984e-12,,,,,,,
41,,,,,,,,,,,1.6679279174190586e-13,1.6679279174190586e-13,,,,,,
42,,,,,,,,,,,1.5285659864755258e-13,1.5285659864755258e-13,,,,,,
43,,,,,,,,,,,2.0577740729495466e-13,2.0577740729495466e-13,,,,,,
44,,,,,,,,,,,3.958389324329052e-14,3.958389324329052e-14,,,,,,
45,,,,,,,,,,,5.918471842190953e-15,5.918471842190953e-15,,,,,,
46,,,,,,,,,,,1.4366399482216922e-15,1.4366399482216922e-15,,,,,,
47,,,,,,,,,,,3.4967764810464767e-15,,,,,,,
48,,,,,,,,,,,2.6586393192739216e-15,,,,,,,
49,,,,,,,,,,,3.3095116079361657e-16,,,,,,,
