it,ddqdqq,ddqdqq-rstrt,ddqddq,ddqddq-rstrt,ddqddd,ddqddd-rstrt,ddqsdd,ddqsdd-rstrt,ddqssd,ddqssd-rstrt,ddqsss,ddqsss-rstrt,ddqhss,ddqhss-rstrt,ddqhhs,ddqhhs-rstrt,ddqhhh,ddqhhh-rstrt
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.205915394876196,,0.205915394876176,,0.205915394876167,,0.205915401951738,,0.20590830215674,,0.205907853995729,,0.206119236605978,,0.286199666604535,,1,
2,0.0657186407232106,,0.0657186407231884,,0.0657186407231975,,0.065718651474543,,0.0657189442255632,,0.065719098947817,,0.0658217918423669,0.0658217918423669,0.104585473315683,0.104585473315683,1,
3,0.046044899743451,,0.0460448997434404,,0.046044899743451,,0.0460449086910896,,0.046044574467295,,0.0460495949376697,,0.0572641055059328,,0.0841001573803348,,1,
4,0.0362349221524993,,0.0362349221524964,,0.036234922152507,,0.0362349271458672,,0.0362358264713671,,0.0362437813293146,,0.03651676778773,,0.0594708255760939,,1,
5,0.031672431534374,,0.0316724315343689,,0.031672431534379,,0.0316724377901752,,0.0316719094562942,,0.0316790080065954,,0.033228441932218,,0.0426078858564656,,1,
6,0.0243490347260066,,0.0243490347260028,,0.0243490347260094,,0.0243490387799323,,0.0243484863648273,,0.0243518849191617,,0.0274693297985312,,0.00740167201434069,0.00740167201434069,1,
7,0.00715096222165641,,0.00715096222165501,,0.00715096222165591,,0.00715096253424647,,0.00715024620741689,,0.00714997010822254,,0.0107551873285254,,0.00579325883243845,,1,
8,0.000609918628411254,,0.000609918628411075,,0.00060991862841116,,0.00060991871459017,,0.000609789662902905,,0.000609800458448095,,0.00158284745945571,0.00158284745945571,0.00309799937563554,,1,
9,3.52E-05,,3.52E-05,,3.52E-05,,3.52E-05,,3.51E-05,,3.51E-05,3.51E-05,0.000346603490079112,,0.00232608119787302,,1,
10,1.56E-06,,1.56E-06,,1.56E-06,,1.56E-06,1.56E-06,1.56E-06,1.56E-06,2.03E-05,,0.000225383411467672,,0.00201111792801674,,1,
11,9.96E-08,9.96E-08,9.96E-08,9.96E-08,9.96E-08,9.96E-08,3.90E-07,,4.45E-07,,9.85E-06,,0.000182025424166265,0.000182025424166265,0.000706731107566857,0.000706731107566857,1,
12,2.21E-08,,2.21E-08,,2.21E-08,,3.17E-07,,3.46E-07,,6.32E-06,,0.000176105490235898,,0.0014479224116182,,1,
13,1.06E-08,,1.06E-08,,1.06E-08,,2.48E-07,,2.58E-07,,4.77E-06,,0.000123151970853547,,0.00117951502579102,,1,
14,8.41E-09,,8.41E-09,,8.41E-09,,2.14E-07,,2.28E-07,,2.07E-06,,5.72E-05,,0.000796603571698108,,1,
15,7.47E-09,,7.47E-09,,7.47E-09,,1.44E-07,,1.70E-07,,5.94E-07,,3.59E-05,,0.000638390961244929,,1,
16,3.63E-09,,3.63E-09,,3.63E-09,,6.36E-08,,5.71E-08,,1.69E-07,,1.12E-05,1.12E-05,0.000170370972540534,0.000170370972540534,1,
17,5.86E-10,,5.86E-10,,5.86E-10,,9.60E-09,,4.21E-09,,1.87E-08,,6.08E-06,,0.000263739432497258,,1,
18,1.54E-10,,1.54E-10,,1.54E-10,,1.14E-09,,5.71E-10,,1.35E-09,1.35E-09,3.89E-06,,0.00018616202284829,,1,
19,2.44E-11,,2.44E-11,,2.44E-11,,1.34E-10,,9.35E-11,,2.26E-09,,2.27E-06,,0.000163708530622172,,1,
20,4.82E-12,,4.82E-12,,4.82E-12,,4.31E-12,4.31E-12,4.27E-12,4.27E-12,1.94E-09,,1.47E-06,,0.000125454432755453,,1,
21,3.04E-13,,3.04E-13,,3.04E-13,,7.38E-13,,4.53E-12,,1.38E-09,,1.07E-06,1.07E-06,6.24E-05,,1,
22,1.06E-14,1.06E-14,1.06E-14,1.06E-14,1.06E-14,1.06E-14,5.98E-13,,2.50E-12,,5.87E-10,,9.02E-07,,7.40E-06,7.40E-06,1,
23,1.73E-15,,1.73E-15,,1.73E-15,,4.09E-13,,1.06E-12,,4.13E-10,,7.03E-07,,2.94E-05,,1,
24,1.22E-15,,1.22E-15,,1.22E-15,,2.48E-13,,7.86E-13,,1.81E-10,,6.28E-07,,2.31E-05,,1,
25,9.95E-16,,9.95E-16,,9.95E-16,,1.32E-13,,6.66E-13,,1.97E-11,,3.42E-07,,1.54E-05,,1,
26,8.93E-16,,8.93E-16,,8.93E-16,,3.84E-14,,2.50E-13,,1.78E-12,,1.51E-07,,9.79E-06,,1,
27,4.23E-16,,4.23E-16,,4.23E-16,,9.77E-15,,5.04E-14,,5.32E-14,5.32E-14,4.35E-08,4.35E-08,5.23E-06,,1,
28,8.00E-17,,8.00E-17,,8.00E-17,,2.71E-15,,4.35E-15,,2.05E-13,,1.54E-08,,1.42E-06,1.42E-06,1,
29,2.24E-17,,2.24E-17,,2.24E-17,,2.12E-16,,2.63E-16,,1.60E-13,,8.75E-09,,8.21E-06,,1,
30,3.30E-18,,3.30E-18,,3.30E-18,,1.49E-17,1.49E-17,1.29E-17,1.29E-17,1.19E-13,,6.94E-09,,5.64E-06,,1,
31,4.84E-19,,4.84E-19,,4.84E-19,,,,,,2.97E-14,,4.62E-09,,4.90E-06,,1,
32,2.65E-20,,2.65E-20,,2.65E-20,,,,,,1.03E-14,,3.25E-09,3.25E-09,3.78E-06,,1,
33,1.64E-21,1.64E-21,1.64E-21,1.64E-21,1.64E-21,1.64E-21,,,,,5.19E-15,,2.89E-09,,1.77E-06,,1,
34,,,,,,,,,,,1.11E-15,,2.24E-09,,2.04E-07,2.04E-07,1,
35,,,,,,,,,,,1.66E-16,,1.92E-09,,9.08E-07,,1,
36,,,,,,,,,,,1.28E-17,1.28E-17,7.89E-10,,7.26E-07,,1,
37,,,,,,,,,,,,,1.63E-10,1.63E-10,4.34E-07,,1,
38,,,,,,,,,,,,,6.24E-11,,2.84E-07,,1,
39,,,,,,,,,,,,,4.51E-11,,1.36E-07,,1,
40,,,,,,,,,,,,,3.73E-11,,4.85E-08,4.85E-08,1,
41,,,,,,,,,,,,,2.85E-11,,1.08E-07,,1,
42,,,,,,,,,,,,,1.84E-11,,9.03E-08,,1,
43,,,,,,,,,,,,,6.92E-12,6.92E-12,7.87E-08,,1,
44,,,,,,,,,,,,,2.56E-12,,1.39E-08,1.39E-08,1,
45,,,,,,,,,,,,,1.04E-12,,2.94E-08,,1,
46,,,,,,,,,,,,,6.72E-13,6.72E-13,2.36E-08,,1,
47,,,,,,,,,,,,,5.42E-13,,1.53E-08,,1,
48,,,,,,,,,,,,,4.32E-13,,1.16E-08,,1,
49,,,,,,,,,,,,,2.85E-13,,3.59E-09,3.59E-09,1,
50,,,,,,,,,,,,,1.94E-13,,1.11E-09,,1,
51,,,,,,,,,,,,,7.62E-14,,6.29E-10,,1,
52,,,,,,,,,,,,,1.11E-14,1.11E-14,2.43E-10,2.43E-10,1,
53,,,,,,,,,,,,,6.66E-15,,1.22E-10,,1,
54,,,,,,,,,,,,,4.24E-15,,1.07E-10,,1,
55,,,,,,,,,,,,,3.35E-15,,5.88E-11,,1,
56,,,,,,,,,,,,,2.41E-15,,3.53E-11,,1,
57,,,,,,,,,,,,,1.08E-15,1.08E-15,5.85E-12,5.85E-12,1,
58,,,,,,,,,,,,,9.02E-16,,1.78E-11,,1,
59,,,,,,,,,,,,,5.63E-16,,1.45E-11,,1,
60,,,,,,,,,,,,,3.98E-16,,1.07E-11,,1,
61,,,,,,,,,,,,,3.93E-16,,7.96E-12,,1,
62,,,,,,,,,,,,,1.81E-16,,3.47E-12,,1,
63,,,,,,,,,,,,,3.32E-17,3.32E-17,1.60E-12,1.60E-12,1,
64,,,,,,,,,,,,,,,4.28E-12,,1,
65,,,,,,,,,,,,,,,3.39E-12,,1,
66,,,,,,,,,,,,,,,1.96E-12,,1,
67,,,,,,,,,,,,,,,1.31E-12,,1,
68,,,,,,,,,,,,,,,4.85E-13,4.85E-13,1,
69,,,,,,,,,,,,,,,6.51E-13,,1,
70,,,,,,,,,,,,,,,5.91E-13,,1,
71,,,,,,,,,,,,,,,3.74E-13,,1,
72,,,,,,,,,,,,,,,2.27E-13,,1,
73,,,,,,,,,,,,,,,1.21E-13,,1,
74,,,,,,,,,,,,,,,5.41E-14,5.41E-14,1,
75,,,,,,,,,,,,,,,6.11E-14,,1,
76,,,,,,,,,,,,,,,4.93E-14,,1,
77,,,,,,,,,,,,,,,4.45E-14,,1,
78,,,,,,,,,,,,,,,1.91E-14,,1,
79,,,,,,,,,,,,,,,1.11E-14,1.11E-14,1,
80,,,,,,,,,,,,,,,1.68E-14,,1,
81,,,,,,,,,,,,,,,6.06E-15,,1,
82,,,,,,,,,,,,,,,1.89E-15,1.89E-15,1,
83,,,,,,,,,,,,,,,6.46E-16,,1,
84,,,,,,,,,,,,,,,4.49E-16,,1,
85,,,,,,,,,,,,,,,3.72E-16,,1,
86,,,,,,,,,,,,,,,3.14E-16,,1,
87,,,,,,,,,,,,,,,2.51E-16,,1,
88,,,,,,,,,,,,,,,1.04E-16,1.04E-16,1,1
