kA16-kM4-a,kA16-kM4-b,kA16-kM8-a,kA16-kM8-b,kA16-kM12-a,kA16-kM12-b,kA16-kM16-a,kA16-kM16-b,kA4-kM4-a,kA4-kM4-b,kA8-kM4-a,kA8-kM4-b,kA12-kM4-a,kA12-kM4-b
5.2627463552679446e-5,0.7749195604571611,4.1513941952360735e-9,0.6942512516199105,2.788344859323786e-13,0.7824008606013244,3.2612899820300923e-15,0.6682056532058838,0.000792631485228639,1.0963977727841188,4.448934279138973e-5,0.8510317271964419,2.339676845179992e-5,0.7788868652933386
2.260553996665777e-5,0.6519720811276032,5.681878325544776e-9,0.6213404711012072,2.990368654636185e-13,0.7459283543840727,4.76220428461867e-15,0.774279290559649,0.0006732889338442388,1.1394945086248658,4.8592937997228336e-5,0.7987364354589134,3.6832404335957534e-5,0.7926393972160971
1.0874342206280148e-5,0.6975321863944022,2.9860864965002734e-9,0.776133759971417,5.100281771424263e-13,0.7971033220695659,4.941085071103682e-15,0.7648246910037106,,,6.264461835372808e-5,0.8003483948147375,5.2245795577615945e-5,0.7166389322231392
8.858765597007845e-6,0.7227147941354889,1.2700979536204791e-9,0.7207602453376155,8.428444152468859e-13,0.6608070166341938,1.6798573494555218e-15,0.7674607581933858,,,4.97157679072489e-5,0.845267905398418,4.5031352617813254e-5,0.8679008446874725
2.525145153904853e-5,0.7886342826765024,6.616283341691738e-10,0.7764665687445724,1.2702997612354208e-12,0.8019157217709186,4.0958735134400836e-14,0.6960923331758433,,,3.28193643794243e-5,0.8292800931348009,1.622401090964416e-5,0.7411821821198109
6.7714019194537885e-6,0.7153129921979957,3.7478967993512187e-10,0.7378748802495527,2.797411249070776e-11,0.7212700274018331,8.174806698214733e-14,0.806782984285525,,,2.3105523726970615e-5,0.8537942655431848,5.2348556411332145e-6,0.8213991517655681
1.1948735962156973e-6,0.7654750261628926,3.190784422093562e-8,0.7291588993387876,5.548852475412468e-12,0.7136170410120981,1.4392257516297188e-13,0.7224610780727895,,,1.9987096637189533e-5,0.9255610615850473,3.3879451146198068e-6,0.7650523228860341
2.8379710072362397e-5,0.7535505411455682,6.732526871796624e-8,0.7132662155135006,1.5714395822507712e-13,0.7091464446455936,,,,,8.147236228333956e-6,0.9625895342766477,2.27716469029915e-6,0.8123054822495349
0.0006597750254123321,0.7247148821403246,1.0357966655516983e-9,0.7268017034914721,3.535537458745677e-11,0.7478199232088073,,,,,1.0887517444218737e-5,0.866307696025944,1.9393024503754513e-5,0.6239524143430042
1.9729470763829347e-5,0.7250806274460707,2.510464155169126e-11,0.7860258985799636,1.8895632763794624e-11,0.7487555074691004,,,,,4.255112031069494e-6,0.8801618672990718,0.0003736620105061039,0.8841623578647897
