it,bbb,bbb-rstrt,sss,sss-rstrt,ddd,ddd-rstrt,dsd,dsd-rstrt,dbd,dbd-rstrt,sbs,sbs-rstrt,dds,dds-rstrt,ddb,ddb-rstrt,ssb,ssb-rstrt,dss,dss-rstrt,dbb,dbb-rstrt,sbb,sbb-rstrt,dsb,dsb-rstrt,dbs,dbs-rstrt
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.975337665925209,0.975337665925209,0.530590871242087,,0.530589289196532,,0.530589275592764,,0.528249791605934,,0.528247910683418,,0.530592259082241,,1,,1,,0.530592087541105,,0.829837404176096,,0.829837404176096,,1,,0.528247910683418,
2,0.689926372600787,0.689926372600787,0.516275287395639,,0.516270651683903,,0.516270643832391,,0.519007792012959,,0.519006012426721,,0.516275498558903,,0.611392005818198,,0.611388649558051,,0.516275666387362,,0.501013781047948,0.501013781047948,0.508679591716158,0.508679591716158,0.6113921516889,,0.518717203106199,
3,0.741310177262471,,0.505793940738744,,0.505781732636657,,0.505781740727337,,0.539513478609873,,0.538933855542724,,0.505789184247462,,0.396688833215154,,0.396693116743275,,0.505789432499992,,0.332668322786312,,0.341067795119898,,0.396688778876656,,0.539511474183767,
4,0.540952717723396,0.540952717723396,0.468352023584442,,0.46834719526795,,0.468347227893332,,0.562881434256878,,0.563034597066839,,0.468356771872795,,0.309952954653756,,0.308035440608403,,0.468361352950463,,0.285558955725852,0.285558955725852,0.283535116875964,0.283535116875964,0.309952897044896,,0.568657951846468,
5,0.604635686707944,,0.258559546752816,,0.258477164903048,,0.258477114264774,,0.553692142467689,0.553692142467689,0.555769020566484,0.555769020566484,0.258499205144775,,0.281352567781982,,0.287734304424616,,0.258514138256132,,0.265624516783112,,0.266492492519919,,0.281352586282885,,0.556636602882441,0.556636602882441
6,0.60099103362649,,0.0357809063609491,,0.0357054971425673,,0.0357044291217807,,0.547979358353436,0.547979358353436,0.549373667511061,0.549373667511061,0.0356705994966699,,0.274250316086109,,0.261142881807774,,0.0356717919997412,,0.25665985783471,,0.257073689940152,0.257073689940152,0.274250313492674,,0.551700451598195,0.551700451598195
7,0.722175748584837,,0.0075354464770335,,0.00738054913338455,,0.00737940532193412,,0.514639864863553,,0.513326955888459,,0.00737180175991977,,0.254078855115541,,0.252474869176096,,0.00737517704696845,,0.249728779531676,0.249728779531676,0.250573409796335,,0.254078845104708,,0.517206046255958,
8,0.658394319659391,,0.00285068571902867,,0.002675374211947,,0.0026741097909387,,0.384385968650475,,0.402220562119653,,0.00267412504434139,,0.248941521541489,,0.245412145772098,,0.00267483355951179,,0.246832425591803,0.246832425591803,0.247131620550399,,0.24891460256971,,0.430551591368518,
9,0.457205683902887,0.457205683902887,0.00112590762600434,,0.000753783847549874,,0.00075251967890611,,0.093348468161771,,0.0762003239153639,,0.000753087294212723,,0.24613846338832,,0.24397723909436,0.24397723909436,0.000754553115053567,,0.244398066758904,,0.235204881181187,,0.242778264795439,,0.293719293118966,
10,0.382712033222949,0.382712033222949,0.00084947815947937,,0.000240372464750181,,0.000239087711899665,,0.0589997920812022,,0.0685989208881879,0.0685989208881879,0.000240397317445354,,0.239158595299814,,0.240474187648166,,0.000241741952274188,,0.236792916536417,,0.229310386127198,0.229310386127198,0.239806746567431,,0.290368482216424,
11,0.383658185380008,,0.000761440981039249,,7.62963127988407E-05,,7.51218358143146E-05,,0.0502075359197503,,0.0655923332327893,0.0655923332327893,7.63471764120296E-05,,0.235486524266961,,0.23714535189826,,7.74799948605704E-05,,0.234660631427308,,0.228466052741322,0.228466052741322,0.237509794070757,,0.263725672422931,
12,0.383658185380008,,0.000407009165035535,0.000407009165035535,3.16397779843355E-06,,1.88917498279764E-06,,0.0340587147870521,,0.0641273340672451,0.0641273340672451,3.16204104140076E-06,,0.226581852065789,,0.234396021557805,,4.44025104956433E-06,,0.234376326746094,,0.225684860108278,,0.234575883952429,,0.0834873437093597,
13,0.381227890876075,,0.000381329738968557,,1.72849523930669E-07,,8.11903691066775E-07,8.11903691066775E-07,0.0267853028988532,0.0267853028988532,0.0636881335176508,,1.72206306556258E-07,,0.21977550796081,,0.224159715387793,,3.27952990039456E-06,3.27952990039456E-06,0.226413535812215,,0.221457399188646,,0.234801134641094,,0.0724603089030595,0.0724603089030595
14,0.382217319107325,,0.000320227078801745,,1.70292378369776E-08,,6.20212418149478E-07,,0.0250367005596216,0.0250367005596216,0.0619656147871936,,1.71027283972567E-08,,0.206815885214196,,0.209637753585601,,2.99292737557118E-06,,0.238498744623704,,0.220304163344523,,0.224232929871933,,0.0716328705916041,0.0716328705916041
15,0.382382223812533,,0.000316103861841316,,7.11015216351079E-09,,3.93900449049337E-07,,0.0244402334880674,0.0244402334880674,0.059459409705928,,7.11947811426007E-09,,0.105300402846299,,0.131514272783868,,2.74393649128799E-06,,0.241481683916583,,0.237218289058328,,0.222883932947258,,0.0706188987137245,0.0706188987137245
16,0.382382223812533,,0.000304217707541549,,6.51582818723299E-10,,3.11984715014505E-07,,0.0240916172026685,0.0240916172026685,0.0494134532630843,,6.51230589968173E-10,,0.0645734097124079,,0.11058604259761,,2.73115889085314E-06,,0.266926952885279,,0.240842744568429,,0.163448332282497,,0.0701654138035171,
17,0.383371652043782,,0.000285189660826245,,2.72304798151529E-11,,3.07088780204123E-07,,0.0233205552410064,,0.0494889710598319,,2.66929142891909E-11,,0.0173554390620016,,0.0535813201448374,,2.6720870596727E-06,,0.265821541511714,,0.247322831692549,,0.116534709432141,,0.0680661353427814,
18,0.382382223812533,,0.000122642539054903,,3.14655757648707E-12,,3.03489676339236E-07,,0.022388576025769,,0.0364925737330038,,2.65513126629172E-12,,0.0137323744678086,,0.0158880726303267,,2.31958996454251E-06,,0.266216191182242,,0.247322831692549,,0.0562233798773525,,0.0593225386470962,
19,0.382712033222949,,7.68613093986621E-06,,7.82625786099912E-13,,2.92173318046567E-07,,0.0227179220642363,,0.0287273160843842,,1.30248516358763E-12,,0.00706219813880619,,0.000381690798428482,,5.20560335443413E-07,,0.276315803206375,,0.24852991302043,,0.0214014577830434,,0.0523928815922406,
20,0.378589415592743,,2.41301855080949E-06,,3.93403181433631E-13,3.93403181433631E-13,1.55483406968302E-07,,0.0237164712234192,,0.0283425103835645,,8.88499251049981E-13,8.88499251049981E-13,0.00489919617039144,,0.000751568710103984,,3.57675320894398E-08,,0.269277484339386,,0.250617791247186,,0.00558117862908293,,0.0523113562151247,
21,0.380523354258096,,1.26384098767469E-06,,3.59884620700551E-13,,2.32467402041716E-08,,0.0233964572842044,,0.0243473581811041,,8.50072105887353E-13,,0.000720623495333307,,0.000277785039503688,,7.92567536393743E-09,,0.294960438629974,,0.239909172694615,,0.00555655027844873,0.00555655027844873,0.0346734505725966,
22,0.382333002505416,,7.04195042698551E-07,,2.96530586124157E-13,,2.22928547499794E-08,2.22928547499794E-08,0.0206589170255122,,0.0144697938442954,,7.68848377181643E-13,,0.000333347701827295,,9.70846493571559E-05,,6.81606322803685E-09,6.81606322803685E-09,0.294384582249545,,0.244905457510328,,0.0055497088322406,,0.0244838218451485,
23,0.384317804200841,,5.67555548318973E-07,5.67555548318973E-07,2.89974908978279E-13,,2.04983342999746E-08,,0.0175440596338594,,0.0124400600327286,0.0124400600327286,7.60737115628268E-13,,5.85916839267409E-05,,0.000199692743433435,,5.93859916171505E-09,,0.293254610542687,,0.245344785450947,,0.00553640076803945,,0.0238380224051475,
24,0.383982049557499,,5.54515312235159E-07,,2.81005766672581E-13,,2.01482952636265E-08,,0.0176104885465088,,0.0110675162138547,0.0110675162138547,6.95124558582545E-13,,7.09161625152743E-05,,0.00019420261567949,0.00019420261567949,5.86977270117449E-09,,0.295529047992403,,0.247762159633167,,0.00545544298434576,,0.0195987027951183,
25,0.383487335441874,,5.33316743879873E-07,,2.68839103343479E-13,,1.95850052800706E-08,,0.0140667463494894,,0.0102298927735448,0.0102298927735448,4.91954352647264E-13,,3.39464489233773E-05,,0.000170349357690076,,5.68232880739475E-09,,0.270983312426673,,0.223488220405186,,0.00552251343723007,,0.00842227914126163,
26,0.383328375969592,,5.23633878911397E-07,,1.7102840972613E-13,,1.79451458093452E-08,,0.0081495180615737,,0.00967957284684903,0.00967957284684903,1.09805051973946E-13,,4.09071827333044E-06,,0.000162643212292734,,5.61046580786115E-09,,0.264160000077526,,0.183315331495224,,0.00574331444850852,,0.00606364170011909,0.00606364170011909
27,0.382003193095,,4.38468902650116E-07,,1.42477240848743E-14,,1.08787220793693E-08,,0.00766261456344231,0.00766261456344231,0.0093873139537311,0.0093873139537311,1.46921767727305E-14,,1.15579889845594E-06,,0.000160172686443321,,4.77505291702081E-09,,0.263591390715096,,0.173210788861003,,0.00574532733741924,,0.0047741078756886,0.0047741078756886
28,0.386624828350801,,2.09733961976401E-07,,2.13638834079434E-15,,2.79065442913082E-09,,0.00749326769675092,0.00749326769675092,0.00934309926196519,0.00934309926196519,3.91419909221892E-15,,2.4151893273443E-06,,0.000154343596442819,,1.38182185460043E-09,,0.259611125178094,,0.171892805039148,,0.00531461324469989,,0.00399613514295023,0.00399613514295023
29,0.379908653234409,,3.186072612846E-08,,8.03030277225906E-16,,2.32897322893112E-10,,0.00741237405688626,0.00741237405688626,0.00924663084356704,,7.56135582364511E-16,,1.5309143002904E-06,,0.000150778127434955,,1.98977471548134E-10,,0.245964500479799,,0.149476256005181,,0.00227640990848357,,0.00351245854840781,0.00351245854840781
