it,bbb,bbb-rstrt,sss,sss-rstrt,ddd,ddd-rstrt,dsd,dsd-rstrt,dbd,dbd-rstrt,sbs,sbs-rstrt,dds,dds-rstrt,ddb,ddb-rstrt,ssb,ssb-rstrt,dss,dss-rstrt,dbb,dbb-rstrt,sbb,sbb-rstrt,dsb,dsb-rstrt,dbs,dbs-rstrt
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,0.5253131514534,,0.525310881279694,,0.525310869525005,,0.522311690045885,,0.522312482873269,,0.525313044609779,,0.581895836554861,,0.581907472084272,,0.525313014840104,,0.725512109954706,,0.642051874577593,,0.5818956921896,,0.522312482873269,
2,1,,0.518298547891418,,0.518297758755034,,0.518297744694632,,0.520145596391281,,0.520146412969355,,0.518300110841955,,0.414866511100474,,0.406346913970057,,0.518300088687081,,0.808972345331818,,0.631619345155454,,0.414870782079766,,0.520002008309094,
3,1,,0.515956747017202,,0.515959218429636,,0.515959194694436,,0.534153002024384,,0.534153665014661,,0.515959563401505,,0.416357987042136,,0.36862785041739,,0.515959521739405,,0.835053668887166,,0.937539558113857,,0.417453762768298,,0.534030445209581,
4,1,,0.450626775668408,,0.45064425777955,,0.450644175404324,,0.53776315811539,,0.537619376860923,,0.450657394284647,,0.402695669199285,,0.362767539319121,,0.450657429929173,,0.774951269466746,,0.947972087535997,,0.402002998215795,,0.538341400162227,
5,1,1,0.166054597470885,,0.1660758110948,,0.166076241735743,,0.549171251362969,,0.54859413104075,,0.166043407931835,,0.403940895945636,,0.358696630583276,,0.166043809427418,,0.795816328311024,,0.947972087535997,,0.411538982140719,,0.549027345021533,
6,1,,0.0309521640032115,,0.030968096428045,,0.0309692722410872,,0.559712907148707,,0.560868527162926,,0.0309498171818723,,0.404566276993563,,0.371241581658122,,0.0309506480363192,,0.697591381404659,,0.722015406802375,,0.410910986404477,,0.558413647938491,
7,1,,0.00261165904773486,,0.00269578050839844,,0.00269474474982376,,0.559424094661426,,0.560868527162926,,0.00269489058183988,,0.404171136812964,,0.498549421047513,,0.00269386011852289,,0.718456440248937,,0.697591381404659,,0.410420528897922,,0.559063468909665,
8,1,,0.000643885429870855,,0.000734176494555514,,0.000732632882172083,,0.580940624963822,,0.57935232367632,,0.000735540028419461,,0.403611977209736,,0.772296344200019,,0.000734467348114269,,0.889709093110276,,0.545435622179686,,0.409336619400313,,0.576897444451885,
9,1,1,0.000557844543340722,,0.000604742616439665,,0.00060319921906565,,0.581662656182023,,0.587872198631712,,0.000606697192645173,,0.398812880419336,,0.80591202471261,,0.000605518328435387,,1,,0.424182004097764,,0.400964775606982,,0.578919109695537,
10,1,,0.000109976104723095,,9.39861735981744E-05,,9.27429052315295E-05,,0.582095874912944,,0.586716961349625,,9.60546298096302E-05,,0.396186362995595,,0.804530593280644,,9.50197735091398E-05,,1,,0.413749474675625,,0.397812698655569,,0.581076752628905,
11,,,3.73567762005677E-05,3.73567762005677E-05,1.22911277599479E-05,,1.07758501960358E-05,,0.596536499276968,,0.596536478247366,,1.45217619022606E-05,,0.396113721742888,,0.802585000406538,,1.34219622245772E-05,,1,,0.455479592364181,,0.397551949095122,,0.598269334170497,
12,,,1.06617989921544E-05,,9.10615605818496E-07,,1.92443041335849E-06,,0.594514811866004,,0.596247668926844,,3.05279981645566E-06,,0.396101480507991,,0.80235529246043,,2.02544045173428E-06,,1,,0.136211762424517,0.136211762424517,0.397494641499419,,0.5956700502858,
13,,,4.70282639290918E-06,,1.24963811136837E-07,,1.37599444447051E-06,1.37599444447051E-06,0.595092436840565,,0.600290999414149,,2.66684452268572E-06,2.66684452268572E-06,0.396101129071874,,0.802389040266788,,1.54968191300444E-06,1.54968191300444E-06,1,,0.156871875694466,,0.397494641499419,,0.600715786424386,
14,,,1.066798892179E-06,,1.4619866050756E-08,,1.28138596096885E-06,,0.607800186280906,,0.613157843247811,,2.50728522432462E-06,,0.396101726024486,,0.617927552350266,0.617927552350266,1.43308764881128E-06,,1,,0.17787849959362,,0.333002666474733,0.333002666474733,0.610602547850986,
15,,,8.50218342854246E-07,,1.07394009308887E-09,,1.24308428186818E-06,,0.61039949866643,,0.613157843247811,,2.47721443868895E-06,,0.396101836723133,,0.505364405969106,,1.39083265453831E-06,,1,,0.185350836782798,,0.277987543854809,,0.610024929209942,
16,,,7.8126666217149E-07,,6.40878507488553E-11,,1.20128918462907E-06,,0.617619810848442,,0.623820532066128,,2.45080091480668E-06,,0.326442311110455,0.326442311110455,0.500732086454456,,1.37053707009612E-06,,1,,0.224185783721432,,0.267755181038893,,0.624176585915509,
17,,,7.42115788112417E-07,7.42115788112417E-07,6.8549472653536E-12,,1.15125926641164E-06,,0.632060435212466,,0.637258592440937,,2.06243049552901E-06,,0.258360397802743,,0.488513147015877,,1.30193368998145E-06,,1,,0.126858157092723,,0.279376799688896,,0.627064679120727,
18,,,7.27248956953827E-07,,3.88551193384883E-12,3.88551193384883E-12,8.98157166902886E-07,,0.633793310136149,,0.638991448364067,,6.7418080238309E-07,,0.240776472309024,,0.496081153668345,,9.10476081121397E-07,,1,,0.0896101042567954,,0.2832325110923,,0.631396818928554,
19,,,7.1084767192041E-07,,3.06933548952505E-12,,4.13457842106495E-07,,0.659208809016831,,0.666564311503351,,1.99841966227263E-07,,0.247940498314241,,0.58081608500753,,3.76441974792957E-07,,1,,0.0950585178513151,,0.283539783369702,,0.649388583902852,
20,,,6.63716388957151E-07,,3.00530705307219E-12,,9.2895306847422E-09,,0.660364058965953,,0.669605236339376,,1.43233552935893E-08,,0.259429624507259,,0.736187794972198,,3.00313771382805E-08,,1,,0.120625925218407,,0.284506870003423,,0.6519022806856,
21,,,3.52382011190154E-07,,2.96211127857976E-12,,2.50108985822681E-09,,0.665562683737001,,0.677691897313986,,1.5290484319203E-09,,0.26849918363148,,1,,2.94582618620882E-09,,1,,0.125803918143559,,0.284174047493867,,0.65850090656973,
22,,,5.14846678469045E-08,,2.91977716006146E-12,,2.12842256243408E-09,,0.671916558457172,,0.686933795570683,,2.22507284606095E-09,,0.267057703960589,,1,,3.13666653826456E-09,,1,,0.0688459959668951,,0.284003899258969,,0.660277750980732,
23,,,4.25349457951286E-09,,1.5973081873455E-12,,3.43102388871631E-10,,0.688090057744879,,0.693735643673388,,3.07363037366798E-10,,0.268677348880494,,1,,1.11392742716824E-09,,1,,0.118036928755832,,0.283844438543763,,0.67298536108369,
24,,,1.43876775185089E-09,,1.60206240740261E-13,,1.32741029122258E-10,,0.696176807388732,,0.697120496039928,,6.56797550402103E-11,,0.268587418095858,,1,,1.50655849660296E-10,,1,,0.120625925218407,,0.283813240237421,,0.67298536108369,
25,,,1.2092120200687E-09,,5.6026276743352E-14,,3.38163191067803E-11,,0.710039806778195,,0.698275733322016,,7.48372742045917E-11,,0.268524543013436,,1,,1.54752631464743E-10,,1,,0.0363614770261925,0.0363614770261925,0.283810525753491,,0.679339166135169,
26,,,1.21781321641478E-09,,1.16139413340191E-14,,3.1445470882411E-12,,0.713505556625561,,0.697881263462201,,7.57833231078728E-12,7.57833231078728E-12,0.268531872852551,,1,,9.99947051966015E-11,9.99947051966015E-11,1,,0.106213441424215,,0.283810525753491,,0.679915739590691,
27,,,9.27004164363875E-10,9.27004164363875E-10,3.16934026475237E-15,,2.54618880540375E-12,2.54618880540375E-12,0.714660806574683,,0.703107117519903,,4.78136567559394E-12,,0.268530812392792,,1,,9.49152713681681E-11,,1,,0.135612956487353,,0.262810390577667,0.262810390577667,0.688003445750823,
28,,,8.91506657124432E-10,,4.9062864422918E-16,,2.47161794036939E-12,,0.714660806574683,,0.68808903285277,,1.91979684199326E-12,,0.268530065076113,,1,,8.48379458449456E-11,,1,,0.0799892800246068,,0.230288926197611,,0.688581064391866,
29,,,8.49455689920878E-10,,,,2.43626724911224E-12,,0.716971306472926,,0.68808903285277,,1.57442667389357E-12,,0.2685303774393,,0.997087636405663,0.997087636405663,8.41285312694055E-11,,1,,0.0657268294784347,,0.22332851300545,,0.694357250802302,
30,,,8.28360334783986E-10,,,,2.41779353097654E-12,,0.712350306676439,,0.705288016494259,,1.52584351641834E-12,,0.268530317349229,,0.984963382526521,,8.31125124249663E-11,,1,,0.0710584542026499,,0.219409914263176,,0.703021530417955,
31,,,7.70944714321838E-10,,,,2.14656627821232E-12,,0.716889034333414,,0.705288016494259,,1.46387704586539E-12,,0.26853030870619,,0.969264831080591,,6.80669000356601E-11,,1,,0.062460659692235,,0.218191997457167,,0.704754386341086,
32,,,4.23844601526139E-10,,,,1.45371017200685E-12,,0.726063154736313,,0.697120496039928,,1.41415603952163E-12,,0.268530309586309,,0.957378551546267,,1.47304194743081E-11,,1,,0.0573906834619668,,0.207956103443038,,0.713418665956739,
33,,,3.40378886874669E-11,,,,3.2992547740908E-13,,0.726131033926389,,0.693735643673388,,1.22785187835729E-12,,0.21011927712704,0.21011927712704,0.946841810291306,,7.08996607101152E-13,,1,,0.0569812646757566,,0.189396655729985,,0.713748727423061,
34,,,3.11083874460591E-12,,,,3.41646855151639E-14,,0.718126556422048,,0.693134768991355,,4.03448658272628E-13,,0.11669721670585,,0.720608969546487,,1.51785684608447E-13,,1,,0.0512494016688133,,0.177376837501736,,0.711108191392565,
35,,,1.96090002074784E-12,,,,3.22884607388143E-15,,0.718126556422048,,0.686723360501144,,7.41377237734899E-14,,0.105626460142962,,0.878696332327017,,2.34201328426711E-13,,0.990674892243175,,0.0398125852971031,0.0398125852971031,0.175321800329374,,0.711104131258008,
36,,,1.03905826579649E-12,,,,5.38970200343848E-16,,0.714144781946138,,0.674073353836918,,9.13651817452863E-15,,0.106680399732907,,0.973959807340576,,2.41645000384006E-14,,0.987170503164421,,0.0370710567992592,,0.175136719832944,,0.705288016494259,
37,,,8.63227241075419E-13,8.63227241075419E-13,,,,,0.711112784587804,,0.661388999774948,,2.11441939610508E-15,,0.10267089136622,,0.985381077980015,,1.86368584991097E-15,,0.777101444532927,,0.0371477675560686,,0.175066019810788,,0.705332004982129,
38,,,8.5413789617851E-13,,,,,,0.710535159613243,,0.657990473410493,,4.0128671650719E-16,,0.0915855807349196,,0.985691250567974,,2.52720778873385E-16,,0.777101444532927,,0.0385088343930432,,0.175074725853109,,0.692046776238128,
39,,,8.39582070651221E-13,,,,,,0.703026034943951,,0.640572933412676,,,,0.0512247859643547,,0.986250696270253,,,,0.71213407288414,,0.0408943087718531,,0.175075809166277,,0.687421766975222,
40,,,8.36693128180156E-13,,,,,,0.693866307490488,,0.630263080210855,,,,0.0595420999088507,,0.986403599787399,,,,0.674562710229102,,0.0398832013669406,,0.175076244073023,,0.667209174673255,
41,,,7.28616041405011E-13,,,,,,0.682160991503715,,0.615219436844777,,,,0.0639072575580641,,0.986411894339364,,,,0.890033464501033,,0.0402990002986088,,0.175076465480094,,0.660277750980732,
42,,,2.90910827403212E-13,,,,,,0.663829808813319,,0.604822301305993,,,,0.0641249636284082,,0.986419643197121,,,,1,,0.0449899911234749,,0.132716975114623,0.132716975114623,0.641505145146816,
43,,,3.2870839752741E-14,,,,,,0.64239627167698,,0.580874521223222,,,,0.0642623025547816,,0.986419861474804,,,,1,,0.0452001445443707,,0.0926729904817092,,0.625620632518118,
44,,,1.58467536839233E-15,,,,,,0.636681435008954,,0.583196220441648,,,,0.0643311435429382,,0.986419861474804,,,,1,,0.0467222580068971,,0.0888633096968464,,0.563815437926457,
45,,,1.22613365066348E-15,,,,,,0.613494163887003,,0.557058976934427,,,,0.0643379234574092,,0.986419970613646,,,,1,,0.0472171914021606,,0.087839803775836,,0.524826179656017,
46,,,6.95769992680038E-16,6.95769992680038E-16,,,,,0.592493124455041,,0.536986729158164,,,,0.06433654808099,,0.986420298030171,,,,0.893645828094023,,0.0475961739766898,,0.0891076455094293,,0.482371209539316,
47,,,,,,,,,0.55375387286127,,0.497345313387588,,,,0.0643366254938464,,0.986418006114496,,,,0.872780769249744,,0.0498233742553755,,0.155700999400676,,0.451757421564007,
48,,,,,,,,,0.534648354859433,,0.485145456124504,,,,0.0643365965631849,,0.986426409805303,,,,0.820618122139049,,0.046882290975097,0.046882290975097,0.292814511306826,,0.40034936251113,
49,,,,,,,,,0.510099293440592,,0.456335055929166,,,,0.0643365998275125,,0.986484580807901,,,,0.684995239651241,,0.0487359148912389,,0.368478608328983,,0.355295108509732,
50,,,,,,,,,0.463432933034554,,0.406121488787008,,,,0.0306010384779684,0.0306010384779684,0.984724062153305,,,,0.664130180806963,,0.0480933252669763,,0.377465863085021,,0.349833292009585,0.349833292009585
51,,,,,,,,,0.466664134232311,,0.396102571962161,,,,0.0267666707694862,,0.906111136237823,,,,0.653697651384824,,0.0496490769207643,,0.377769102729829,,0.353285374315745,
52,,,,,,,,,0.433852796798546,,0.367155522462097,,,,0.0286302593201579,,0.95315789874358,,,,0.622400063118406,,0.0502805977592776,,0.37745749719027,,0.356904623605498,
53,,,,,,,,,0.416524047561718,,0.331204971311424,,,,0.0284100714760981,,1,,,,0.591102474851989,,0.050651322542506,,0.377545170805666,,0.35735329912846,
54,,,,,,,,,0.329429989191931,,0.286500260502185,,,,0.0282785371394197,,1,,,,0.611967533696267,,0.0525790914152935,,0.377549137393695,,0.36478136956866,
55,,,,,,,,,0.316716189496071,,0.325434891419055,,,,0.0280006898583834,,1,,,,0.611967533696267,,0.0534551846952424,,0.377549546072462,,0.368985119481375,
