it,bbb,bbb-rstrt,sss,sss-rstrt,ddd,ddd-rstrt,dsd,dsd-rstrt,dbd,dbd-rstrt,sbs,sbs-rstrt,dds,dds-rstrt,ddb,ddb-rstrt,ssb,ssb-rstrt,dss,dss-rstrt,dbb,dbb-rstrt,sbb,sbb-rstrt,dsb,dsb-rstrt,dbs,dbs-rstrt
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.99308166804847,0.99308166804847,0.530590888869609,,0.530589289196532,,0.530589273706544,,0.528276874807135,,0.528284998989715,,0.530592263816325,,0.988027770855146,,0.988027770855146,,0.530592105168627,,0.829837404176096,,0.829837404176096,,0.988027770855146,,0.528284260837232,
2,0.58775304507256,0.58775304507256,0.5162752962094,,0.516270651683903,,0.516270644021634,,0.519153307361549,,0.519166744579239,,0.516275498925903,,0.666135326000444,,0.666135326000444,,0.516275675201123,,0.478800767291313,0.478800767291313,0.621186815733315,,0.666135326000444,,0.518891371837365,
3,0.397873294358996,0.397873294358996,0.505793936331864,,0.505781732636657,,0.505781731805142,,0.53949117994864,,0.538975297846956,,0.505789201729693,,0.509647384668358,,0.509647384668358,,0.50578943529436,,0.383214389859577,0.383214389859577,0.33910379849201,,0.509647384668358,,0.539559473926186,
4,0.392222891797781,,0.468352014770681,,0.46834719526795,,0.468347226978636,,0.563549358706162,,0.563998377425555,,0.468356765387862,,0.329152747969557,,0.329152747969557,,0.468361348543583,,0.324235561231485,,0.280972454051334,,0.329152747969557,,0.568456630034403,
5,0.396460693718692,,0.258559564380338,,0.258477164903048,,0.258477108578622,,0.556800940531747,,0.558273702941152,,0.258499190117473,,0.297773612093054,,0.373378329701511,,0.258514155883654,,0.282743667061961,,0.343567630584168,,0.297773612093054,,0.56085906228533,
6,0.39575439339854,,0.0357807653407731,,0.0357054971425673,,0.0357044308082109,,0.570916638677171,,0.568789635902145,,0.0356705933282448,,0.283065479574228,,0.261678479583872,,0.0356717567446971,,0.268911266792506,0.268911266792506,0.378755528036775,,0.283065479574228,,0.567475609838058,
7,0.397166994038844,,0.00753534071190139,,0.00738054913338455,,0.00737941936635927,,0.592886157706282,,0.596239613049143,,0.00737179256274363,,0.321215682590816,,0.342080741435094,,0.00737514179192457,,0.260754875878357,,0.446406035656485,,0.321215682590816,,0.594193789286583,
8,0.35941834914542,0.35941834914542,0.00285057995389657,,0.00267537421194711,,0.00267409948416609,,0.593309698546602,,0.595703935834369,,0.0026741284586316,,0.27886376582911,,0.328632270202872,,0.00267472779437968,,0.258099477531067,0.258099477531067,0.387100155616722,,0.27886376582911,,0.595246968703901,
9,0.338349338042115,,0.00112576660582835,,0.000753783847549763,,0.0007525186834759,,0.599095287202112,,0.598876087742928,,0.000753107658249199,,0.279191319935052,0.279191319935052,0.267375247012449,0.267375247012449,0.000754403284900729,,0.256139181822385,,0.478349796401941,,0.279191319935052,0.279191319935052,0.597584210660239,
