id,name,ka,fwdsdq,bkwsdq,fwdddq,bkwddq,fwdsdqdd,bkwsdqdd,fwddlu,bkwdlu,fwdddd,bkwddd,xshift,yshift,angle
1,\textbf{ElectroPhys10M},1.10E+01,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.17E-14,6.10E-15,1.00E-15,5.00E-16,7.5,-6.25,0
2,ss ,9.65E+03,6.66E-16,7.01E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.76E-10,1.00E-11,3.00E-14,6.00E-16,0,3,0
3,nlpkkt80,2.39E+04,4.44E-16,3.75E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.33E-10,9.12E-12,4.00E-13,4.00E-16,0,3,0
4,Serena,2.43E+04,5.55E-16,1.15E-17,1.00E-17,1.00E-17,3.33E-16,1.00E-17,1.73E-13,1.02E-15,2.00E-13,1.00E-16,0,-16,0
5,Geo\_1438 ,5.90E+04,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,6.79E-14,7.81E-16,6.00E-14,2.00E-16,0,3,0
6,Chevron4,2.42E+05,5.76E-16,1.08E-16,1.00E-17,1.00E-17,2.50E-17,1.00E-17,1.82E-13,3.90E-16,1.00E-13,2.80E-16,-5,-1,0
7,ML\_Geer,2.44E+05,1.11E-16,6.07E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,6.01E-14,1.72E-15,6.00E-14,8.00E-16,0,-16,0
8,Transport ,3.16E+05,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.18E-12,2.93E-16,1.70E-13,8.50E-17,0,3,0
9,Bump\_2911,6.71E+05,1.11E-16,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.56E-11,5.10E-14,1.40E-11,2.90E-14,0,3,0
10,\textbf{DrivAer6M},9.40E+05,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,9.98E-13,6.26E-16,8.00E-13,2.50E-16,0,-16,0
11,vas\_stokes\_1M,1.10E+06,2.22E-16,3.57E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.21E-12,1.70E-15,9.00E-13,8.80E-16,2,3,0
12,Hook\_1489,2.06E+06,4.44E-16,2.72E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,9.44E-13,1.32E-15,8.80E-13,2.20E-16,2,-16,0
13,Queen\_4147 ,4.30E+06,2.22E-16,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.41E-11,1.77E-15,3.00E-11,7.00E-16,0,-16,0
14,dielFilterV2real,5.98E+06,4.44E-16,3.45E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.07E-10,4.28E-16,2.20E-10,3.00E-16,0,3,0
15,Flan\_1565,1.38E+07,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,6.39E-12,1.51E-15,5.60E-12,4.50E-16,-2,3,0
16,\textbf{tminlet3M},2.70E+07,1.12E-16,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,2.04E-09,2.92E-13,1.00E-10,9.50E-16,2,3,0
17,\textbf{perf009ar},3.70E+08,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,3.41E-09,7.97E-15,1.00E-09,2.90E-16,0,3,0
18,Pflow\_742,2.94E+09,8.22E-15,1.00E-17,1.11E-16,1.00E-17,1.00E-17,1.00E-17,1.05E-08,1.41E-15,1.50E-09,7.50E-16,-3,-16,0
19,Cube\_Coup\_dt0,3.24E+09,4.44E-16,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.00E-17,1.22E-07,6.56E-15,1.30E-08,5.70E-16,-6,3,0
20,\textbf{elasticity-3d},3.60E+09,1.00E+00,2.00E-06,2.22E-16,1.09E-17,1.00E-17,1.00E-17,1.68E-08,9.51E-15,4.40E-09,8.80E-16,6,-16,0
21,fem\_hifreq\_circuit ,4.26E+09,1.00E+00,7.69E-11,2.22E-16,1.00E-17,1.00E-17,1.00E-17,3.33E-08,1.15E-15,5.00E-08,9.00E-16,2,3,0
22,\textbf{lfm\_aug5M},5.80E+11,1.00E-17,2.24E-16,1.00E-17,1.00E-17,3.71E-16,1.00E-17,1.24E-02,3.41E-14,3.90E-05,3.00E-16,0,3,0
23,Long\_Coup\_dt0 ,5.97E+12,1.00E-17,1.00E-17,1.00E-17,1.00E-17,9.99E-16,1.00E-17,1.38E-04,7.77E-15,2.00E-04,1.40E-15,0,3,0
24,\textbf{CarBody25M},8.60E+12,1.00E+00,5.00E-10,6.66E-16,1.00E-17,1.00E-17,1.00E-17,5.67E-06,1.95E-14,3.00E-06,3.00E-16,0,-16,0
25,\textbf{thmgas},8.28E+13,1.00E-17,1.00E-17,1.00E-17,1.00E-17,4.44E-16,1.00E-17,5.12E-04,7.89E-16,2.00E-04,4.00E-16,0,3,0
