id,name,n,nnz,arith,sym,ka,ffacto,fsolve,efactors,epeak,mpi
1,\textbf{ElectroPhys10M},1.0E+07,1.4E+08,R,1,1E+01,3.9E+14,8.6E+10,2.1E+10,2.8E+10,4
2,ss ,1.7E+06,3.5E+07,R,0,1E+04,4.2E+13,1.2E+10,5.8E+09,6.4E+09,2
3,nlpkkt80,1.1E+06,2.9E+07,R,1,2E+04,1.8E+13,7.4E+09,1.9E+09,3.0E+09,2
4,Serena,1.4E+06,6.4E+07,R,1,2E+04,2.9E+13,1.1E+10,2.7E+09,4.4E+09,2
5,Geo\_1438 ,1.4E+06,6.3E+07,R,1,6E+04,1.8E+13,1.0E+10,2.5E+09,3.4E+09,2
6,Chevron4,7.1E+05,6.4E+06,C,0,2E+05,2.2E+10,1.6E+08,7.8E+07,8.6E+07,2
7,ML\_Geer,1.5E+06,1.1E+08,R,0,2E+05,4.3E+12,4.1E+09,2.1E+09,2.2E+09,2
8,Transport ,1.6E+06,2.4E+07,R,0,3E+05,1.1E+13,5.2E+09,2.6E+09,2.8E+09,2
9,Bump\_2911,2.9E+06,1.3E+08,R,1,7E+05,2.0E+14,3.9E+10,9.7E+09,1.5E+10,2
10,\textbf{DrivAer6M},6.1E+06,5.0E+07,R,1,9E+05,6.5E+13,2.6E+10,6.6E+09,8.7E+09,2
11,vas\_stokes\_1M,1.1E+06,3.5E+07,R,0,1E+06,1.5E+13,6.3E+09,3.2E+09,3.3E+09,2
12,Hook\_1489,1.5E+06,6.1E+07,R,1,2E+06,8.3E+12,6.2E+09,1.6E+09,2.0E+09,2
13,Queen\_4147 ,4.1E+06,3.3E+08,R,1,4E+06,2.7E+14,5.7E+10,1.4E+10,1.8E+10,2
14,dielFilterV2real,1.2E+06,4.8E+07,R,1,6E+06,1.1E+12,2.3E+09,5.8E+08,7.0E+08,2
15,Flan\_1565,1.6E+06,1.2E+08,R,1,1E+07,3.9E+12,6.2E+09,1.6E+09,1.8E+09,2
16,\textbf{tminlet3M},2.8E+06,1.6E+08,C,0,3E+07,1.1E+14,2.1E+10,1.1E+10,1.2E+10,4
17,\textbf{perf009ar},5.4E+06,2.1E+08,R,1,4E+08,1.9E+13,1.9E+10,4.7E+09,5.7E+09,2
18,Pflow\_742,7.4E+05,3.7E+07,R,1,3E+09,1.4E+12,2.1E+09,5.4E+08,6.7E+08,2
19,Cube\_Coup\_dt0,2.2E+06,1.3E+08,R,1,3E+09,9.9E+13,2.7E+10,6.8E+09,9.4E+09,2
20,\textbf{elasticity-3d},5.2E+06,1.2E+08,R,1,4E+09,1.5E+14,5.2E+10,1.3E+10,1.5E+10,2
21,fem\_hifreq\_circuit ,4.9E+05,2.0E+07,C,0,4E+09,4.3E+11,7.6E+08,3.8E+08,3.9E+08,2
22,\textbf{lfm\_aug5M},5.5E+06,3.7E+07,C,1,6E+11,2.2E+14,4.7E+10,1.2E+10,1.6E+10,4
23,Long\_Coup\_dt0 ,1.5E+06,8.7E+07,R,1,6E+12,5.2E+13,1.7E+10,4.1E+09,5.5E+09,2
24,\textbf{CarBody25M},2.4E+07,7.1E+08,R,1,9E+12,9.6E+12,2.6E+10,6.5E+09,8.0E+09,2
25,\textbf{thmgas},5.5E+06,3.7E+07,R,0,8E+13,1.1E+14,3.5E+10,1.8E+10,1.8E+10,4
